"Year","Carbon","Petroleo","Gas","Cemento","Quema_Gas_Exceso"
1900,1873.356867,67.309637,11.5416,0.001395,0.0
1901,1929.131922,74.750267,12.86064,0.001666,0.0
1902,1973.177627,80.808149,13.696032,0.002158,0.0
1903,2154.002798,85.561821,14.52776,0.002548,0.0
1904,2166.663609,96.083367,15.165234,0.002749,0.0
1905,2311.142921,97.016809,17.169504,0.003512,0.0
1906,2415.682993,97.892621,19.027152,0.004497,0.0
1907,2746.956153,119.416045,19.877139,0.00463,0.0
1908,2626.020205,128.759327,19.67568,0.115405,0.0
1909,2730.133645,134.348724,23.522878,0.115641,0.0
1910,2862.582604,143.839394,24.9152,0.135402,0.0
1911,2898.529241,152.546087,25.717653,0.148075,0.0
1912,3047.939798,156.759267,28.315392,0.1767,0.0
1913,3292.069571,181.574564,29.597792,0.202725,0.0
1914,2961.772783,185.582615,30.136463,0.146633,0.0
1915,2902.827628,197.103921,31.86575,0.160302,0.0
1916,3129.373294,214.632085,38.37681,0.181316,0.0
1917,3257.893166,238.808042,40.509124,0.148254,0.0
1918,3209.469323,244.604716,36.51909,0.119586,0.0
1919,2715.320697,272.965804,37.948035,0.124745,0.0
1920,3125.926648,350.954308,41.685394,0.148899,0.0
1921,2668.396987,384.258313,34.992309,0.12958,0.0
1922,2770.670402,426.345193,40.106976,0.192769,0.0
1923,3146.423216,473.526834,52.526095,0.207956,0.0
1924,3152.648603,470.811853,59.708798,0.216033,0.0
1925,3151.418356,492.786671,63.922293,14.428664,0.0
1926,3081.75687,490.648088,69.14449,14.740364,0.0
1927,3361.539082,537.815777,76.016969,15.448016,0.0
1928,3305.359142,549.538507,82.622941,35.616359,0.0
1929,3522.251296,602.778249,102.894115,36.872743,0.0
1930,3214.073172,578.598138,104.223852,35.561065,0.0
1931,2830.539698,560.748916,92.887023,30.931108,0.0
1932,2519.948682,536.592093,88.218133,24.72134,0.0
1933,2635.637556,586.389167,90.916591,23.865703,0.0
1934,2878.247438,620.413063,101.949347,28.541916,0.0
1935,2996.884844,668.784621,111.371681,32.090137,0.0
1936,3285.172373,729.131032,125.528684,38.762537,0.0
1937,3463.735748,821.515974,140.574286,40.829309,0.0
1938,3228.046168,796.989445,135.493153,38.550531,0.0
1939,3435.325944,830.241441,141.327896,35.686753,0.0
1940,3794.016705,872.467427,153.515448,31.430612,0.0
1941,3884.161173,880.697063,153.46322,43.292988,0.0
1942,3909.448481,835.715643,166.048943,38.376329,0.0
1943,3925.038609,888.001414,182.899895,34.809781,0.0
1944,3867.922773,1018.140846,197.600826,22.663946,0.0
1945,2998.27011,1008.344867,216.697353,22.991088,0.0
1946,3234.314334,1139.899283,223.833945,36.33039,0.0
1947,3621.548433,1221.313566,247.888304,43.191945,0.0
1948,3739.454968,1339.606627,280.122269,51.684289,0.0
1949,3546.309554,1336.640842,300.454234,58.263762,0.0
1950,3856.215025,1648.309543,353.1562,66.978938,73.624416
1951,4060.0398,1742.354432,416.186336,75.839229,79.87526
1952,4009.059071,1838.023921,447.085044,80.840562,85.363804
1953,4043.705068,1952.100332,474.527427,89.627553,81.34803
1954,4039.512096,2068.542651,501.349623,97.230969,77.612011
1955,4372.781274,2311.863763,547.229127,107.565749,96.835899
1956,4597.137216,2508.048188,587.228538,116.624053,108.173769
1957,4681.797771,2621.266199,646.665818,122.609816,106.385515
1958,4754.382025,2726.36553,705.824678,129.775386,95.114847
1959,4948.027578,2904.648763,758.226391,145.336357,91.693532
