"Country","Total_2011","Total_2021","Variacion_Porcentual"
Venezuela,175.944973,79.746599,-54.68
Ukraine,307.956066,201.857716,-34.45
United Kingdom,469.713315,346.773181,-26.17
Italy,424.25627,328.68732,-22.53
Spain,285.132255,233.649543,-18.06
Germany,808.911525,674.753566,-16.58
Netherlands,168.25966,141.045431,-16.17
Mexico,484.164841,407.205037,-15.9
Czech Republic,115.185836,97.138329,-15.67
Japan,1265.034863,1067.398435,-15.62
France,354.602482,305.96371,-13.72
USA,5546.628958,5007.335889,-9.72
Belgium,105.020115,95.722285,-8.85
South Africa,465.774743,435.928899,-6.41
Canada,567.054133,545.634517,-3.78
